VideoId;Title;Description;PublishedAt;ViewCount;LikeCount;DlikeandUnknow;FavoriteCount;Words
5x7KZ7EdFt0;La correísta González y el derechista Noboa se enfrentarán en segunda vuelta en Ecuador;Ecuador celebrará el 15 de octubre el balotaje presidencial tras los resultados de este domingo, en los que Luisa González, ...;2023-08-21T08:37:05Z;7205;104;7101;0;Segunda vuelta Ecuador
5xEqwVHJzT4;Palabras de Daniel Noboa, ya en Segunda Vuelta de Ecuador;Daniel Noboa, candidato a la presidencia, quien pasó a segunda vuelta, brindó una rueda de prensa. . Por su parte, el candidato ...;2023-08-21T02:18:17Z;10766;404;10362;0;Campaña Daniel Noboa
5xusWoUUXOw;Andrés Arauz indica que la RC tiene coincidencias con la lucha social del Movimiento Indígena;;2023-09-07T17:02:20Z;2121;207;1914;0;Andres Arauz
62as8CE_gHM;Urgente. Nueva encuesta da ganador a Daniel Noboa sobre Luisa González en las elecciones;Nuevas encuestas han salido y en esta pone a Daniel Noboa como primero en intención de votos para esta segunda vuelta.;2023-09-09T12:57:00Z;7816;360;7456;0;Elecciones 2023 Ecuador
6dCWvnd1BVE;🔴 Sigue la violencia política en Ecuador: atacan a balazos al candidato Daniel Noboa;En un recorrido de campaña del candidato presidencial de la alianza Acción Democrática Nacional (ADN) fue interrumpida por ...;2023-08-18T16:07:13Z;107;4;103;0;Acción Democrática Nacional (ADN)
6fcCfRUQVy0;Daniel Noboa propone alquiler de cárceles barcazas;El candidato presidencial de la Alianza Acción Democrática Nacional (ADN) Daniel Noboa, detalló su plan de barcos prisiones.;2023-08-23T23:01:19Z;37495;2777;34718;0;Acción Democrática Nacional (ADN)
6hOBXQB97o0;ALERTA LE QUIEREN DAR VIRE A CANDIDATA LUISA GONZÁLEZ GOBIERNO NO HACE NADA AL RESPECTO NOTICIAS RFE;EL ECUADOR SE VUELVE A CONMO.CIONAR TRAS NOTICIA DE INTENTO DE A.TE.NTADO EN CONTRA DE LUISA ...;2023-09-01T03:50:09Z;7476;1240;6236;0;Luisa Gonzales presidente
6Lv2LRD6kaU;👀 Daniel Noboa sería la mejor opción en la segunda vuelta para Jan Topic 🇪🇨;;2023-08-22T16:28:14Z;5448;186;5262;0;Problemas de Daniel Noboa
6nrQQFqCntM;Ecuador avanza a una segunda vuelta electoral tras una votación histórica | Noticias Telemundo;Video oficial de Noticias Telemundo. Luego de una primera contienda electoral la cual estuvo resguardada por más de 100000 ...;2023-08-21T13:57:54Z;6510;47;6463;0;Segunda vuelta Ecuador
6qBv5JUCxVc;Binomio de la Revolución Ciudadana fue el último en aceptar candidatura | Televistazo | Ecuavisa;El binomio de la Revolución Ciudadana, conformado por Luisa González y Andrés Arauz, fue el último en aceptar su candidatura ...;2023-06-14T00:56:45Z;1928;20;1908;0;Revolución Ciudadana
6RWAr-kzeMc;"¡Increíble pero Cierto! Daniel Noboa y sus Teorías del &#39;Mundo Konitos&#39; ¿Riesgo para Ecuador?";Bienvenidos a [Nombre del Canal o Programa], donde hoy examinamos las impactantes declaraciones de Daniel Noboa, ...;2023-09-10T02:30:10Z;3046;210;2836;0;Problemas de Daniel Noboa
6Th1fJl35tk;Marcela Aguiñaga: El partido de la revolución ciudadana están más sólido que nunca;La presidenta nacional del partido Revolucion Ciudadana y perfecta del Guayas Marcela Aguiñaga dijo que el partido está más ...;2023-05-23T19:00:10Z;7470;339;7131;0;Revolución Ciudadana
6xwM_-8BjXg;"Himno del Partido Accion Democratica Nacionalista &quot;ADN&quot;";;2022-08-15T17:44:03Z;1301;28;1273;0;Acción Democrática Nacional (ADN)
6Y4rS6qGL7Y;Andres Arauz: Duele lo que pasa en Esmeraldas;Me escribió Paola Cabezas y Andres Arauz como duele lo que pase Esmeralda por falta de prevención del gobierno nacional ...;2023-06-05T18:00:02Z;18829;791;18038;0;Andres Arauz
73XmgEvJ9Ng;REVOLUCION CIUDADANA PONE A PRUEBA FISCALIA Y GOBIERNO EN EL CASO DE VILLAVICENCIO NOTICIAS RFE TV;EL MOVIMIENTO REVOLUCION CIUDADANA HACE FUERTE LLAMADO DE ATENCIÓN AL GOBIERNO Y FISCALIA POR SU ...;2023-09-09T04:00:09Z;5283;395;4888;0;Revolución Ciudadana
7AdMvpibz2M;Asambleísta Daniel Noboa - Sesión 769 - #LeyDeInversiones;24 de marzo de 2022 Informe para Segundo Debate del Proyecto de Ley Orgánica para Atracción de Inversiones, Fortalecimiento ...;2022-03-24T18:47:32Z;5016;33;4983;0;Daniel Noboa propuestas
7CCwTQDeZtw;#PatriaUnaVezMás con Luisa González presidenta 2023;Vamos, juntos con #ConLuisa y los #AsambleístasDeCorrea, a ser #PatriaUnaVezMás. El #ResurgirDeLaPatria es ...;2023-07-03T14:05:18Z;31238;1897;29341;0;Luisa Gonzales presidente
7hdSbjhbVyo;Andres Arauz recorre el país como precandidato presidencial;El precandidato presidencial Andres Arauz recorre todo el Ecuador, para constatar los problemas que tiene la población Únete a ...;2023-06-08T20:15:09Z;8983;514;8469;0;Andres Arauz
7ixmrIbTzUc;Debate 2023;Programa especial de la Revolución Ciudadana.;2023-08-13T23:00:10Z;3261;215;3046;0;Revolución Ciudadana
7mPrhiyq6hY;Delegados de binomios presidenciales validaron el diseño de la papeleta de Segunda Vuelta;El Consejo Nacional Electoral (CNE) conjuntamente con delegados de la Alianza Acción Democrática Nacional (ADN) y del ...;2023-08-31T15:36:45Z;10;0;10;0;Acción Democrática Nacional (ADN)
7N248jCLXRI;Quiénes son Luisa Gónzalez y Daniel Noboa los candidatos que se disputan la presidencia de Ecuador;Luisa González y Daniel Noboa fueron los candidatos más votados y se enfrentarán en una segunda vuelta el próximo 15 de ...;2023-08-21T17:46:46Z;252615;7920;244695;0;Noboa propuestas
7qemZgfA5CU;Andres Arauz, Asumimos el reto para. recuperar al Ecuador;El candidato oficial por la revolucion ciudadana Andrés Arauz a la vicepresidencia dijo que con Luisa han trabajdo mucho y que ...;2023-06-10T22:00:10Z;4766;230;4536;0;Andres Arauz
7rM99qyDQHs;Resumen: así se vivió la jornada electoral 2023 en Ecuador;Ecuador realizó sus elecciones presidenciales este domingo en las que hubo diversos acontecimientos notables. Desde la ...;2023-08-21T01:14:25Z;34811;326;34485;0;Elecciones 2023 Ecuador
7uLTduDWr_c;🔴¡EL VIDEO CALLADITO QUE DANIEL NOBOA NO QUIERE QUE VEAS!;noticiasecuador #RegionnetworkNewsEcuador #ecuador Consigamos 100.000 seguidores. Haga clic en el botón de suscripción.;2023-08-26T11:30:05Z;11972;759;11213;0;Problemas de Daniel Noboa
7UXEv3qEff0;Elecciones en Ecuador: segunda vuelta entre la correísta González y el moderado Noboa;La candidata de la Revolución Ciudadana se mantiene con el 33,2% de los apoyos, frente al 24% de Daniel Noboa. Segunda ...;2023-08-21T08:34:18Z;509;9;500;0;Segunda vuelta Ecuador
7wDUYKR8Sj0;Entrevista a Daniel Noboa Azin, candidato a Presidente de Ecuador;;2023-08-20T22:09:03Z;4099;64;4035;0;Daniel Noboa presidente
8bFquNrLjcQ;VERONICA ABAD LA CUOTA POLITICA DE LASSO EN EL CANDIDATO NOBOA DE LENIN MORENO NOTICIAS RFE TV;LA CANDIDATA DEL BINOMIO DE DANIEL NOBOA LA SRTA. VERONICA ABAD ES LA CUOTA POLITICA DE LASSO AL SER ...;2023-08-24T10:30:11Z;4833;411;4422;0;Verónica Abad
8I38ztdvxRg;Estrategia de Rafael Correa para elegir el Binomio de la RC5;El correísmo plantea una nueva estrategia en las elecciones generales de Agosto. Pues ellos no han presentado ningún binomio ...;2023-06-02T12:57:00Z;23498;1335;22163;0;Revolución Ciudadana
8I9zNfLi-q0;Elecciones en Ecuador: ¿Quiénes son Luisa González y Daniel Noboa y qué proponen? #ValganVerdades;Luisa González y Daniel Noboa definirán la presidencia de Ecuador en segunda vuelta en medio de un clima de creciente ...;2023-08-22T01:45:10Z;75633;1148;74485;0;Noboa propuestas
8IRkR1VoxS4;"Ley de defensa de la dolarización impediría la propuesta de &#39;ecuadólares&#39; de Arauz";Existen candados legales que impiden la creación de monedas paralelas en Ecuador, inclusive si son electrónicas. La llamada ...;2023-08-08T21:52:05Z;3743;41;3702;0;Andres Arauz
8ou2YH0uijY;La Revolución Ciudadana de Correa derrota a Lasso a pesar de su campaña sucia y su trollcenter;El pasado domingo 5 de febrero se celebraron elecciones territoriales y consulta ciudadana con 8 preguntas para cambiar ...;2023-02-08T17:55:08Z;145826;8676;137150;0;Revolución Ciudadana
8Q7NB44P3yw;¿Qué opinan los jóvenes sobre Daniel Noboa y la política en Ecuador?;Daniel Noboa, candidato a la presidencia de #Ecuador, competirá contra Luisa González en la segunda vuelta de las elecciones.;2023-08-25T22:35:00Z;93715;1259;92456;0;Noboa propuestas
8unC1wJqj4E;Luisa González y Daniel Noboa irán a segunda vuelta en Ecuador;RPPNoticias. La voz de todo el Perú. Noticias del Perú y el mundo, las 24 horas del día.;2023-08-21T18:10:19Z;5504;38;5466;0;Segunda vuelta Ecuador
98_gGO9QnsE;Propuestas de Daniel Noboa #eleccionesecuador2023 #rafaelcorrea #danielnoboa;;2023-08-24T15:34:52Z;4949;172;4777;0;Noboa propuestas
98KTK-VIj2c;Entrevista a Luisa González en RTS;LuisaEnMedios #ENVIVO Sigue la entrevista a Luisa González en RTS.;2023-08-07T12:41:50Z;26750;1148;25602;0;Luisa Gonzales propuestas
98Uy4ZBCzMs;#Entrevista | Verónica Abad | 10-3-2022;Verónica Abad, precandidata a la alcaldía de Cuenca por el movimiento AMIGO, participó en nuestro segmento Voto 2023.;2022-10-03T13:17:09Z;287;1;286;0;Verónica Abad
-9bfFFIohd4;Si faltas, hay multa. ¡Ponte pilas! Ecuador cuenta contigo - Elecciones anticipadas 2023;Eres parte de una Junta Receptora del Voto?🗣️🗳️ ¡No faltes a conformar la mesa! Tu participación asegura la transparencia y ...;2023-08-10T23:29:37Z;533052;8;533044;0;Elecciones 2023 Ecuador
9-cpbAsEaT4;🔴 EN VIVO 🔴 Daniel Noboa propone ajustar salarios y edad de jubilación a trabajadores | 28/08/2023.;LOS ESPECIALISTAS 28 AGOSTO 2023 Invitado: Dr. José Serrano - Exministro del Interior. Invitado: Dr. Juan Falconí Puig ...;2023-08-28T15:57:42Z;41226;3068;38158;0;Problemas de Daniel Noboa
9CZ8z48Wqgw;Plan de Gobierno de la candidata Luisa González | La Entrevista | Zaracay Noticias;El día de hoy, lunes 19 de junio, en nuestro espacio de entrevistas, estuvo con nosotros Luisa González, candidata a la ...;2023-06-19T16:56:50Z;47170;1174;45996;0;Luisa Gonzales propuestas
9IBx-Gw7L-Y;ELECCIONES BAJO FUEGO en ECUADOR: COBERTURA ESPECIAL de C5N;Visitá https://www.c5n.com/ Suscribite a nuestro canal: https://bit.ly/C5NYouTube Seguinos también en: · Instagram: ...;2023-08-20T20:16:59Z;5178;70;5108;0;Elecciones 2023 Ecuador
9kLOnkHl2gY;Ecuador: la correísta González y el derechista Noboa disputarán la presidencia;Luisa González, delfín del expresidente socialista Rafael Correa, anhela convertirse en la primera presidenta de su país. Por su ...;2023-08-21T19:19:21Z;71204;1939;69265;0;Daniel Noboa presidente
9MmEcMKj7YY;Himno Revolución Ciudadana.mp4;;2010-10-01T11:50:41Z;126731;1689;125042;0;Revolución Ciudadana
9uSg0W39eXk;Andrés Arauz planteó la creación de ecuadólares para transacciones dentro del país;Andrés Arauz, candidato a la vicepresidencia por el correísmo, planteó la creación de ecuadólares para transacciones dentro del ...;2023-08-07T18:43:07Z;3759;33;3726;0;Andres Arauz
9wxKAwEQ1wM;Luisa González;Candidata presidencial - Revolución Ciudadana Tema: Ejes de campaña Suscríbete a nuestro canal para más videos: ...;2023-06-27T16:39:46Z;47436;866;46570;0;Gonzales propuestas
9Zg77ANg3-0;Entrevista a Andrés Arauz en Digital G Pro;AndrésEnMedios #ENVIVO Sigue la entrevista a Andrés Arauz en Digital G Pro.;2023-08-02T05:50:27Z;2871;173;2698;0;Andres Arauz
A_ug44WS9xo;#PalabraSueltaxKolectiVOZ | Luisa González conversa con Xavier Lasso;KolectiVOZ se desplaza ahora a México y ahí Xavier Lasso conversó con Luisa González, quien según varias encuestas, podría ...;2023-07-11T19:00:09Z;30484;1606;28878;0;Problemas de Luisa Gonzales
a0J8ueebF1c;Luisa González le dio una paliza verbal a Daniel Noboa y Guillermo Lasso;Apoyame a sostener el Canal: https://www.youtube.com/channel/UCeTvDvX-MW0tHetW5wi2zkg/join Donaciones Paypal: ...;2023-09-02T22:13:59Z;50338;2772;47566;0;Problemas de Luisa Gonzales
A0jAs1L_S6Q;"LUISA GONZÁLEZ RESPONDE A ESTUDIANTE DE AMBATO CASO &quot;MOJIGATA&quot; EN UNIANDES";"LUISA GONZÁLEZ RESPONDE A ESTUDIANTE DE AMBATO CASO ""MOJIGATA"" EN UNIANDES. Esta es la respuesta de la ...";2023-07-13T15:05:24Z;55741;833;54908;0;Gonzales propuestas
